step,joint,action,target_q,q_curr,tau
0,L_hip_roll,0.233970,0.000000,0.000000,-0.000000
0,L_hip_yaw,0.211796,0.000000,0.000000,-0.000000
0,L_hip_pitch,-0.226275,-0.350000,0.000000,-42.000000
0,L_knee,0.435517,-0.650000,-0.000000,-102.000000
0,L_foot_pitch,0.129889,0.300000,-0.000000,14.450000
0,L_foot_roll,0.293984,0.000000,-0.000000,0.000000
0,R_hip_roll,-0.385475,0.000000,0.000000,-0.000000
0,R_hip_yaw,-0.099152,0.000000,-0.000000,0.000000
0,R_hip_pitch,0.336816,0.350000,-0.000000,42.000000
0,R_knee,-0.394775,0.650000,-0.000000,102.000000
0,R_foot_pitch,-1.407241,-0.300000,0.000000,-14.450000
0,R_foot_roll,0.205268,0.000000,-0.000000,0.000000
10,L_hip_roll,0.484630,0.000000,-0.000406,0.327140
10,L_hip_yaw,-0.076298,0.000000,0.010125,-2.523612
10,L_hip_pitch,1.801722,-0.350000,-0.072542,-21.742856
10,L_knee,1.100424,-0.650000,-0.131472,-31.083021
10,L_foot_pitch,1.470149,0.300000,0.093940,2.105709
10,L_foot_roll,0.679433,0.000000,-0.000069,-0.025183
10,R_hip_roll,0.160621,0.000000,0.000145,-0.163309
10,R_hip_yaw,-0.381264,0.000000,-0.010069,2.503838
10,R_hip_pitch,-0.691296,0.350000,0.072550,21.747163
10,R_knee,-0.069682,0.650000,0.131400,31.170166
10,R_foot_pitch,-0.744756,-0.300000,-0.093243,-2.253525
10,R_foot_roll,0.578319,0.000000,0.000028,0.034100
20,L_hip_roll,1.448080,0.000000,-0.001409,0.535042
20,L_hip_yaw,-0.206137,0.000000,0.017303,-2.157808
20,L_hip_pitch,2.032604,-0.350000,-0.203542,-4.336055
20,L_knee,0.112776,-0.650000,-0.360684,15.764859
20,L_foot_pitch,-0.180044,0.300000,0.230327,-5.880420
20,L_foot_roll,0.835943,0.000000,0.000491,-0.075242
20,R_hip_roll,0.542103,0.000000,0.000853,-0.368225
20,R_hip_yaw,0.010045,0.000000,-0.017123,2.131532
20,R_hip_pitch,-0.330106,0.350000,0.203417,4.365158
20,R_knee,0.706549,0.650000,0.360201,-15.555903
20,R_foot_pitch,-0.706383,-0.300000,-0.229089,5.772829
20,R_foot_roll,-0.017954,0.000000,-0.000571,0.083660
30,L_hip_roll,2.011865,0.000000,-0.001500,0.122745
30,L_hip_yaw,-0.230663,0.000000,0.011581,-0.420564
30,L_hip_pitch,2.551872,-0.350000,-0.321270,6.795107
30,L_knee,-0.275478,-0.650000,-0.554494,31.478684
30,L_foot_pitch,-0.713212,0.300000,0.305819,-4.949463
30,L_foot_roll,1.342029,0.000000,0.000088,0.087409
30,R_hip_roll,-0.489504,0.000000,0.000907,-0.024493
30,R_hip_yaw,-0.030577,0.000000,-0.011494,0.428185
30,R_hip_pitch,0.611329,0.350000,0.321124,-6.787595
30,R_knee,0.560882,0.650000,0.553909,-31.432798
30,R_foot_pitch,-1.602112,-0.300000,-0.305049,4.969804
30,R_foot_roll,-0.325687,0.000000,-0.000172,-0.081190
40,L_hip_roll,2.312455,0.000000,-0.000265,-0.430068
40,L_hip_yaw,-0.199839,0.000000,0.000199,1.150234
40,L_hip_pitch,2.607969,-0.350000,-0.402175,12.596242
40,L_knee,-0.556179,-0.650000,-0.675497,31.114835
40,L_foot_pitch,-0.897377,0.300000,0.323014,-1.789560
40,L_foot_roll,1.112876,0.000000,-0.000899,0.148118
40,R_hip_roll,-0.441615,0.000000,-0.000183,0.462778
40,R_hip_yaw,-0.060211,0.000000,-0.000317,-1.116641
40,R_hip_pitch,1.029684,0.350000,0.402265,-12.639736
40,R_knee,0.423766,0.650000,0.675431,-31.320867
40,R_foot_pitch,-1.692471,-0.300000,-0.323193,1.897254
40,R_foot_roll,-0.265582,0.000000,0.000837,-0.146972
50,L_hip_roll,2.307698,0.000000,0.001399,-0.745364
50,L_hip_yaw,-0.262894,0.000000,-0.010199,2.102055
50,L_hip_pitch,2.123868,-0.350000,-0.445781,14.344992
50,L_knee,-0.610864,-0.650000,-0.729555,22.939652
50,L_foot_pitch,-0.944537,0.300000,0.311932,0.637971
50,L_foot_roll,0.799312,0.000000,-0.001100,0.056966
50,R_hip_roll,-0.862187,0.000000,-0.001633,0.724954
50,R_hip_yaw,0.005211,0.000000,0.009951,-2.066027
50,R_hip_pitch,0.926759,0.350000,0.446245,-14.439295
50,R_knee,0.315620,0.650000,0.730310,-23.325500
50,R_foot_pitch,-1.729512,-0.300000,-0.312826,-0.517667
50,R_foot_roll,-0.387123,0.000000,0.001085,-0.061371
60,L_hip_roll,2.243896,0.000000,0.002519,-0.710168
60,L_hip_yaw,-0.184748,0.000000,-0.016166,2.286999
