step,joint,action,target_q,q_curr,tau
0,L_hip_roll,0.421947,0.000000,0.000000,-0.000000
0,L_hip_yaw,-0.075158,0.000000,0.000000,-0.000000
0,L_hip_pitch,-0.022564,-0.350000,0.000000,-42.000000
0,L_knee,0.902507,-0.650000,-0.000000,-97.500000
0,L_foot_pitch,0.254435,0.300000,-0.000000,14.450000
0,L_foot_roll,0.482879,0.000000,-0.000000,0.000000
0,R_hip_roll,0.097959,0.000000,0.000000,-0.000000
0,R_hip_yaw,-0.136358,0.000000,-0.000000,0.000000
0,R_hip_pitch,0.000433,0.350000,-0.000000,42.000000
0,R_knee,-0.184569,0.650000,-0.000000,97.500000
0,R_foot_pitch,-0.932238,-0.300000,0.000000,-14.450000
0,R_foot_roll,0.367393,0.000000,-0.000000,0.000000
10,L_hip_roll,0.915122,0.000000,-0.000377,0.309390
10,L_hip_yaw,-0.103483,0.000000,0.009551,-2.429993
10,L_hip_pitch,1.280135,-0.350000,-0.069176,-22.443526
10,L_knee,1.544040,-0.650000,-0.124283,-38.683472
10,L_foot_pitch,0.665970,0.300000,0.091909,2.336366
10,L_foot_roll,0.756286,0.000000,-0.000078,-0.018583
10,R_hip_roll,-0.046303,0.000000,0.000132,-0.151964
10,R_hip_yaw,-0.181880,0.000000,-0.009498,2.411185
10,R_hip_pitch,-0.738257,0.350000,0.069186,22.447322
10,R_knee,-0.260786,0.650000,0.124215,38.741842
10,R_foot_pitch,-1.400635,-0.300000,-0.091252,-2.478915
10,R_foot_roll,0.120306,0.000000,0.000041,0.026892
20,L_hip_roll,0.924694,0.000000,-0.001439,0.590064
20,L_hip_yaw,-0.274582,0.000000,0.017705,-2.372769
20,L_hip_pitch,1.538151,-0.350000,-0.203204,-3.575519
20,L_knee,1.049595,-0.650000,-0.359136,4.825236
20,L_foot_pitch,-0.203718,0.300000,0.231297,-6.430674
20,L_foot_roll,0.662569,0.000000,0.000494,-0.086052
20,R_hip_roll,-0.023469,0.000000,0.000881,-0.412402
20,R_hip_yaw,-0.166072,0.000000,-0.017514,2.341914
20,R_hip_pitch,-0.477465,0.350000,0.203049,3.615608
20,R_knee,0.155417,0.650000,0.358576,-4.624181
20,R_foot_pitch,-1.213450,-0.300000,-0.230017,6.304627
20,R_foot_roll,-0.270524,0.000000,-0.000572,0.094809
30,L_hip_roll,1.094143,0.000000,-0.001751,0.239132
30,L_hip_yaw,-0.236925,0.000000,0.013554,-0.784423
30,L_hip_pitch,1.920870,-0.350000,-0.332295,9.386300
30,L_knee,0.404437,-0.650000,-0.577210,27.191603
30,L_foot_pitch,-0.920578,0.300000,0.310338,-5.496160
30,L_foot_roll,0.949609,0.000000,0.000192,0.077131
30,R_hip_roll,-0.255001,0.000000,0.001120,-0.123310
30,R_hip_yaw,-0.138455,0.000000,-0.013424,0.784709
30,R_hip_pitch,0.059376,0.350000,0.332014,-9.351702
30,R_knee,0.379554,0.650000,0.576307,-27.047104
30,R_foot_pitch,-1.277386,-0.300000,-0.309388,5.492656
30,R_foot_roll,-0.233439,0.000000,-0.000285,-0.068824
40,L_hip_roll,1.425321,0.000000,-0.000661,-0.330778
40,L_hip_yaw,-0.261484,0.000000,0.002873,0.809289
40,L_hip_pitch,1.934780,-0.350000,-0.424691,16.265509
40,L_knee,-0.103597,-0.650000,-0.726140,34.288406
40,L_foot_pitch,-1.190826,0.300000,0.327123,-1.919951
40,L_foot_roll,1.325622,0.000000,-0.000935,0.175842
40,R_hip_roll,-0.510013,0.000000,0.000143,0.386446
40,R_hip_yaw,-0.113664,0.000000,-0.002950,-0.778205
40,R_hip_pitch,0.645252,0.350000,0.424575,-16.281421
40,R_knee,0.620416,0.650000,0.725621,-34.352200
40,R_foot_pitch,-1.272069,-0.300000,-0.327119,2.020473
40,R_foot_roll,-0.121486,0.000000,0.000851,-0.171873
50,L_hip_roll,1.483717,0.000000,0.001043,-0.712129
50,L_hip_yaw,-0.353889,0.000000,-0.008003,1.943569
50,L_hip_pitch,1.967183,-0.350000,-0.474328,18.036585
50,L_knee,-0.271349,-0.650000,-0.800622,31.341005
50,L_foot_pitch,-1.352096,0.300000,0.313019,0.904626
50,L_foot_roll,1.296137,0.000000,-0.001390,0.104026
50,R_hip_roll,-0.533820,0.000000,-0.001376,0.719719
50,R_hip_yaw,-0.073850,0.000000,0.007739,-1.897236
50,R_hip_pitch,0.939748,0.350000,0.474627,-18.120786
50,R_knee,0.728165,0.650000,0.801083,-31.638489
50,R_foot_pitch,-1.265462,-0.300000,-0.313870,-0.769851
50,R_foot_roll,-0.019679,0.000000,0.001351,-0.107046
60,L_hip_roll,1.489266,0.000000,0.002380,-0.766086
60,L_hip_yaw,-0.396608,0.000000,-0.015688,2.449702
60,L_hip_pitch,1.884795,-0.350000,-0.485502,15.874193
60,L_knee,-0.373751,-0.650000,-0.812584,22.118692
60,L_foot_pitch,-1.324802,0.300000,0.294342,2.058595
60,L_foot_roll,1.336227,0.000000,-0.000719,-0.048967
60,R_hip_roll,-0.619208,0.000000,-0.002512,0.731462
60,R_hip_yaw,-0.090060,0.000000,0.015357,-2.410728
60,R_hip_pitch,1.148222,0.350000,0.486306,-16.020217
60,R_knee,0.742333,0.650000,0.814228,-22.595638
60,R_foot_pitch,-1.264408,-0.300000,-0.295561,-1.949081
60,R_foot_roll,0.074918,0.000000,0.000746,0.040456
70,L_hip_roll,1.444970,0.000000,0.002784,-0.538353
70,L_hip_yaw,-0.384260,0.000000,-0.018497,2.257375
70,L_hip_pitch,1.747942,-0.350000,-0.467107,11.199942
70,L_knee,-0.297195,-0.650000,-0.779938,10.098506
70,L_foot_pitch,-1.248546,0.300000,0.283940,1.835727
70,L_foot_roll,1.259891,0.000000,0.000487,-0.156643
70,R_hip_roll,-0.641674,0.000000,-0.002714,0.464449
70,R_hip_yaw,-0.114626,0.000000,0.018275,-2.249886
70,R_hip_pitch,1.337214,0.350000,0.468327,-11.378901
70,R_knee,0.598977,0.650000,0.782545,-10.639402
70,R_foot_pitch,-1.263259,-0.300000,-0.285017,-1.782391
70,R_foot_roll,0.281401,0.000000,-0.000415,0.148406
80,L_hip_roll,1.334533,0.000000,0.002232,-0.178904
80,L_hip_yaw,-0.343867,0.000000,-0.015915,1.420736
80,L_hip_pitch,1.544589,-0.350000,-0.430812,5.626873
80,L_knee,-0.129248,-0.650000,-0.723308,-1.273089
80,L_foot_pitch,-1.215574,0.300000,0.283856,0.909930
80,L_foot_roll,0.993154,0.000000,0.001345,-0.161362
80,R_hip_roll,-0.604344,0.000000,-0.001970,0.071495
80,R_hip_yaw,-0.118659,0.000000,0.015964,-1.458501
80,R_hip_pitch,1.211241,0.350000,0.432192,-5.793464
80,R_knee,0.537955,0.650000,0.726288,0.819794
80,R_foot_pitch,-1.205732,-0.300000,-0.284457,-0.917644
80,R_foot_roll,0.379736,0.000000,-0.001273,0.157282
90,L_hip_roll,1.157392,0.000000,0.002203,-0.325572
90,L_hip_yaw,-0.298952,0.000000,-0.014936,1.809230
90,L_hip_pitch,1.597038,-0.350000,-0.393692,1.776979
90,L_knee,0.080261,-0.650000,-0.689693,1.601444
90,L_foot_pitch,-1.075698,0.300000,0.358591,-14.450000
90,L_foot_roll,0.673968,0.000000,-0.009137,1.135201
90,R_hip_roll,-0.658572,0.000000,-0.001788,0.514000
90,R_hip_yaw,-0.168361,0.000000,0.012075,-1.422005
90,R_hip_pitch,0.990890,0.350000,0.392995,-1.672041
90,R_knee,0.457457,0.650000,0.680757,-0.382162
90,R_foot_pitch,-1.139508,-0.300000,-0.329948,12.761460
90,R_foot_roll,0.349244,0.000000,-0.000919,-0.041704
100,L_hip_roll,1.112323,0.000000,-0.003810,2.101289
100,L_hip_yaw,-0.246266,0.000000,-0.018338,2.463696
100,L_hip_pitch,1.609915,-0.350000,-0.409834,9.771283
100,L_knee,0.346190,-0.650000,-0.728070,21.579947
100,L_foot_pitch,-0.887075,0.300000,0.365895,-4.505900
100,L_foot_roll,0.657702,0.000000,0.007089,-0.815952
100,R_hip_roll,-0.499063,0.000000,-0.006596,2.584476
100,R_hip_yaw,-0.160065,0.000000,0.008682,-0.775390
100,R_hip_pitch,0.944693,0.350000,0.391240,-6.661377
100,R_knee,0.397919,0.650000,0.696025,-14.642022
100,R_foot_pitch,-1.088218,-0.300000,-0.374278,6.807287
100,R_foot_roll,0.313210,0.000000,0.001097,-0.249788
110,L_hip_roll,1.007295,0.000000,-0.006819,2.133338
110,L_hip_yaw,-0.301914,0.000000,-0.019827,2.463720
110,L_hip_pitch,1.041866,-0.350000,-0.426633,10.222152
110,L_knee,0.587650,-0.650000,-0.765427,23.126437
110,L_foot_pitch,-1.014530,0.300000,0.361374,-4.721378
110,L_foot_roll,0.621486,0.000000,0.004417,-0.122167
110,R_hip_roll,-0.266272,0.000000,-0.009769,2.742121
110,R_hip_yaw,-0.170523,0.000000,0.007255,-0.794581
110,R_hip_pitch,0.804781,0.350000,0.405590,-7.782639
110,R_knee,0.488635,0.650000,0.731975,-18.729901
110,R_foot_pitch,-1.090250,-0.300000,-0.380054,6.756604
110,R_foot_roll,0.213475,0.000000,0.002016,-0.189515
120,L_hip_roll,1.286286,0.000000,-0.009122,2.458868
120,L_hip_yaw,-0.176760,0.000000,-0.020192,2.427984
120,L_hip_pitch,0.490066,-0.350000,-0.430020,9.419714
120,L_knee,0.676443,-0.650000,-0.785984,23.226386
120,L_foot_pitch,-1.006816,0.300000,0.361727,-5.115464
120,L_foot_roll,0.914932,0.000000,0.002824,-0.112826
120,R_hip_roll,-0.394646,0.000000,-0.012029,3.000611
120,R_hip_yaw,-0.126592,0.000000,0.006969,-0.837992
120,R_hip_pitch,0.589620,0.350000,0.411999,-7.688244
120,R_knee,0.670661,0.650000,0.758387,-20.574742
120,R_foot_pitch,-1.071824,-0.300000,-0.381780,6.603293
120,R_foot_roll,0.239246,0.000000,0.002221,-0.174146
130,L_hip_roll,1.219615,0.000000,-0.011066,2.746496
130,L_hip_yaw,0.080434,0.000000,-0.020005,2.366806
130,L_hip_pitch,-0.061770,-0.350000,-0.422799,7.607919
130,L_knee,0.742386,-0.650000,-0.793527,22.036458
130,L_foot_pitch,-0.927559,0.300000,0.364404,-5.462383
130,L_foot_roll,1.091183,0.000000,0.002252,-0.142493
130,R_hip_roll,-0.400252,0.000000,-0.013754,3.205242
130,R_hip_yaw,-0.085506,0.000000,0.007207,-0.902837
130,R_hip_pitch,0.360010,0.350000,0.409709,-6.557384
130,R_knee,1.051878,0.650000,0.773959,-20.745110
130,R_foot_pitch,-1.016087,-0.300000,-0.381538,6.445362
130,R_foot_roll,0.341794,0.000000,0.002175,-0.169291
140,L_hip_roll,1.077006,0.000000,-0.012613,2.925996
140,L_hip_yaw,0.185424,0.000000,-0.019554,2.294136
140,L_hip_pitch,-0.278200,-0.350000,-0.407482,5.073879
140,L_knee,0.724075,-0.650000,-0.790977,19.886457
140,L_foot_pitch,-0.866041,0.300000,0.367463,-5.682545
140,L_foot_roll,1.293278,0.000000,0.001971,-0.134312
140,R_hip_roll,-0.330016,0.000000,-0.015000,3.305227
140,R_hip_yaw,-0.084567,0.000000,0.007694,-0.978684
140,R_hip_pitch,0.300150,0.350000,0.399482,-4.600798
140,R_knee,1.207150,0.650000,0.779281,-19.616100
140,R_foot_pitch,-0.957731,-0.300000,-0.380335,6.277027
140,R_foot_roll,0.325945,0.000000,0.002107,-0.159482
150,L_hip_roll,1.049362,0.000000,-0.013677,2.982052
150,L_hip_yaw,0.114002,0.000000,-0.018975,2.215581
150,L_hip_pitch,-0.489704,-0.350000,-0.386613,2.130698
150,L_knee,0.554770,-0.650000,-0.781086,17.178744
150,L_foot_pitch,-1.022250,0.300000,0.369780,-5.762672
150,L_foot_roll,1.417896,0.000000,0.001741,-0.114811
150,R_hip_roll,-0.566087,0.000000,-0.015716,3.281655
150,R_hip_yaw,-0.076368,0.000000,0.008297,-1.059122
150,R_hip_pitch,0.144802,0.350000,0.383000,-2.090689
150,R_knee,1.257479,0.650000,0.775981,-17.580424
150,R_foot_pitch,-0.991942,-0.300000,-0.378548,6.082950
150,R_foot_roll,0.279880,0.000000,0.001973,-0.140347
160,L_hip_roll,1.012883,0.000000,-0.014176,2.898920
160,L_hip_yaw,0.175032,0.000000,-0.018336,2.135078
160,L_hip_pitch,-0.546649,-0.350000,-0.362809,-0.899885
160,L_knee,0.496238,-0.650000,-0.766569,14.317810
160,L_foot_pitch,-1.030182,0.300000,0.370863,-5.716635
160,L_foot_roll,1.402810,0.000000,0.001408,-0.056531
160,R_hip_roll,-0.414723,0.000000,-0.015854,3.130893
160,R_hip_yaw,-0.087674,0.000000,0.008952,-1.140932
160,R_hip_pitch,0.243270,0.350000,0.362498,0.659906
160,R_knee,1.325262,0.650000,0.766269,-15.062853
160,R_foot_pitch,-1.038106,-0.300000,-0.376289,5.857552
160,R_foot_roll,0.287273,0.000000,0.001739,-0.110685
170,L_hip_roll,0.759551,0.000000,-0.014066,2.701705
170,L_hip_yaw,0.241413,0.000000,-0.017673,2.053998
170,L_hip_pitch,-0.723213,-0.350000,-0.338757,-3.689409
170,L_knee,0.599897,-0.650000,-0.750170,11.733037
170,L_foot_pitch,-0.962380,0.300000,0.370659,-5.580484
170,L_foot_roll,1.273358,0.000000,0.000855,-0.013170
170,R_hip_roll,-0.403113,0.000000,-0.015404,2.870496
170,R_hip_yaw,-0.119851,0.000000,0.009620,-1.220955
170,R_hip_pitch,0.212363,0.350000,0.340530,3.324178
170,R_knee,1.429735,0.650000,0.752692,-12.492266
170,R_foot_pitch,-1.019584,-0.300000,-0.373621,5.607136
170,R_foot_roll,0.253890,0.000000,0.001391,-0.071110
180,L_hip_roll,0.690698,0.000000,-0.013392,2.405107
180,L_hip_yaw,0.239057,0.000000,-0.017009,1.975193
180,L_hip_pitch,-0.616608,-0.350000,-0.317046,-5.953617
180,L_knee,0.645771,-0.650000,-0.734537,9.757571
180,L_foot_pitch,-0.841218,0.300000,0.369426,-5.395015
180,L_foot_roll,1.053449,0.000000,0.000282,0.036983
180,R_hip_roll,-0.223827,0.000000,-0.014424,2.526694
180,R_hip_yaw,-0.124787,0.000000,0.010275,-1.297499
180,R_hip_pitch,0.201341,0.350000,0.319695,5.598962
180,R_knee,1.408046,0.650000,0.737889,-10.256724
180,R_foot_pitch,-1.028504,-0.300000,-0.370661,5.348769
180,R_foot_roll,0.143818,0.000000,0.000927,-0.022797
190,L_hip_roll,0.656937,0.000000,-0.012230,2.041531
190,L_hip_yaw,0.189957,0.000000,-0.016361,1.899578
190,L_hip_pitch,-0.524083,-0.350000,-0.299855,-7.484184
190,L_knee,0.722717,-0.650000,-0.721864,8.608020
190,L_foot_pitch,-0.770231,0.300000,0.367556,-5.201127
190,L_foot_roll,0.976262,0.000000,-0.000347,0.093368
190,R_hip_roll,-0.129022,0.000000,-0.013017,2.135718
190,R_hip_yaw,-0.135644,0.000000,0.010905,-1.370317
190,R_hip_pitch,0.218552,0.350000,0.302325,7.246589
190,R_knee,1.389629,0.650000,0.724279,-8.644887
190,R_foot_pitch,-1.005913,-0.300000,-0.367604,5.105180
190,R_foot_roll,0.027333,0.000000,0.000360,0.032026
200,L_hip_roll,0.769304,0.000000,-0.010705,1.647171
200,L_hip_yaw,0.158545,0.000000,-0.015735,1.826390
200,L_hip_pitch,-0.385747,-0.350000,-0.288665,-8.185214
200,L_knee,0.659223,-0.650000,-0.713598,8.326998
200,L_foot_pitch,-0.689179,0.300000,0.365475,-5.031740
200,L_foot_roll,0.834386,0.000000,-0.001034,0.153604
200,R_hip_roll,-0.104851,0.000000,-0.011329,1.734962
200,R_hip_yaw,-0.101354,0.000000,0.011509,-1.440682
200,R_hip_pitch,0.136356,0.350000,0.290156,8.131305
200,R_knee,1.314354,0.650000,0.713723,-7.795579
200,R_foot_pitch,-1.058411,-0.300000,-0.364695,4.898396
200,R_foot_roll,0.018497,0.000000,-0.000288,0.090685
210,L_hip_roll,0.703643,0.000000,-0.008968,1.256858
210,L_hip_yaw,0.193799,0.000000,-0.015123,1.753973
210,L_hip_pitch,-0.143384,-0.350000,-0.284046,-8.084535
210,L_knee,0.596655,-0.650000,-0.710219,8.781515
210,L_foot_pitch,-0.620442,0.300000,0.363555,-4.908293
210,L_foot_roll,0.823081,0.000000,-0.001762,0.215134
210,R_hip_roll,-0.128654,0.000000,-0.009519,1.358134
210,R_hip_yaw,-0.120341,0.000000,0.012099,-1.510520
210,R_hip_pitch,0.065160,0.350000,0.284085,8.236057
210,R_knee,1.224412,0.650000,0.707251,-7.680430
210,R_foot_pitch,-1.139793,-0.300000,-0.362171,4.744455
210,R_foot_roll,-0.102325,0.000000,-0.000988,0.150388
220,L_hip_roll,0.844153,0.000000,-0.007169,0.898253
220,L_hip_yaw,0.113451,0.000000,-0.014517,1.681485
220,L_hip_pitch,0.107683,-0.350000,-0.285644,-7.308872
220,L_knee,0.422902,-0.650000,-0.711234,9.724077
220,L_foot_pitch,-0.659246,0.300000,0.362061,-4.839326
220,L_foot_roll,0.893333,0.000000,-0.002510,0.275727
220,R_hip_roll,-0.206793,0.000000,-0.007740,1.030027
220,R_hip_yaw,-0.079004,0.000000,0.012684,-1.580671
220,R_hip_pitch,0.085692,0.350000,0.284101,7.649546
220,R_knee,1.098545,0.650000,0.704961,-8.133184
220,R_foot_pitch,-1.284923,-0.300000,-0.360217,4.651057
220,R_foot_roll,-0.106378,0.000000,-0.001708,0.208671
230,L_hip_roll,0.792040,0.000000,-0.005446,0.592813
230,L_hip_yaw,0.023167,0.000000,-0.013913,1.609538
230,L_hip_pitch,0.376465,-0.350000,-0.292407,-6.042278
230,L_knee,0.270855,-0.650000,-0.715455,10.864882
230,L_foot_pitch,-0.533206,0.300000,0.361129,-4.824063
230,L_foot_roll,0.842784,0.000000,-0.003252,0.333516
230,R_hip_roll,-0.214386,0.000000,-0.006120,0.768315
230,R_hip_yaw,-0.050468,0.000000,0.013268,-1.650312
230,R_hip_pitch,0.128050,0.350000,0.289436,6.528019
230,R_knee,0.764113,0.650000,0.706167,-8.918554
230,R_foot_pitch,-1.405304,-0.300000,-0.358931,4.616920
230,R_foot_roll,-0.220113,0.000000,-0.002419,0.263452
240,L_hip_roll,0.753218,0.000000,-0.003911,0.354281
240,L_hip_yaw,-0.056768,0.000000,-0.013322,1.540673
240,L_hip_pitch,0.655565,-0.350000,-0.302877,-4.485597
240,L_knee,0.131501,-0.650000,-0.721334,11.933982
240,L_foot_pitch,-0.466674,0.300000,0.360789,-4.854672
240,L_foot_roll,0.756344,0.000000,-0.003967,0.387161
240,R_hip_roll,-0.267434,0.000000,-0.004756,0.582675
240,R_hip_yaw,-0.043885,0.000000,0.013839,-1.716593
240,R_hip_pitch,0.101069,0.350000,0.298836,5.057869
240,R_knee,0.627996,0.650000,0.709689,-9.788593
240,R_foot_pitch,-1.428903,-0.300000,-0.358325,4.634591
240,R_foot_roll,-0.280094,0.000000,-0.003096,0.313307
250,L_hip_roll,0.785179,0.000000,-0.002641,0.187558
250,L_hip_yaw,-0.134514,0.000000,-0.012766,1.478730
250,L_hip_pitch,1.006409,-0.350000,-0.315500,-2.823111
250,L_knee,0.004088,-0.650000,-0.727312,12.720574
250,L_foot_pitch,-0.340684,0.300000,0.360985,-4.919742
250,L_foot_roll,0.577049,0.000000,-0.004639,0.435996
250,R_hip_roll,-0.230841,0.000000,-0.003710,0.474273
250,R_hip_yaw,-0.045033,0.000000,0.014372,-1.775377
250,R_hip_pitch,0.202456,0.350000,0.310850,3.419919
250,R_knee,0.465855,0.650000,0.714167,-10.531235
250,R_foot_pitch,-1.334997,-0.300000,-0.358335,4.692717
250,R_foot_roll,-0.278649,0.000000,-0.003721,0.357492
260,L_hip_roll,0.721998,0.000000,-0.001679,0.089789
260,L_hip_yaw,-0.193818,0.000000,-0.012276,1.428046
260,L_hip_pitch,1.204455,-0.350000,-0.328860,-1.202606
260,L_knee,-0.111882,-0.650000,-0.732064,13.088497
260,L_foot_pitch,-0.231658,0.300000,0.361605,-5.005195
260,L_foot_roll,0.428186,0.000000,-0.005258,0.479994
260,R_hip_roll,-0.302274,0.000000,-0.003008,0.437155
260,R_hip_yaw,-0.071729,0.000000,0.014834,-1.822117
260,R_hip_pitch,0.225765,0.350000,0.324087,1.766395
260,R_knee,0.308408,0.650000,0.718336,-10.994415
260,R_foot_pitch,-1.230532,-0.300000,-0.358849,4.778054
260,R_foot_roll,-0.303974,0.000000,-0.004284,0.395988
270,L_hip_roll,0.644740,0.000000,-0.001029,0.050944
270,L_hip_yaw,-0.216416,0.000000,-0.011885,1.392465
270,L_hip_pitch,1.343304,-0.350000,-0.341823,0.272160
270,L_knee,-0.205832,-0.650000,-0.734631,12.974468
270,L_foot_pitch,-0.058666,0.300000,0.362496,-5.096319
270,L_foot_roll,0.219129,0.000000,-0.005822,0.519738
270,R_hip_roll,-0.286849,0.000000,-0.002639,0.458943
270,R_hip_yaw,-0.066216,0.000000,0.015191,-1.852874
270,R_hip_pitch,0.172770,0.350000,0.337379,0.209765
270,R_knee,0.137849,0.650000,0.721199,-11.092110
270,R_foot_pitch,-1.118986,-0.300000,-0.359721,4.876457
270,R_foot_roll,-0.343611,0.000000,-0.004781,0.429372
280,L_hip_roll,0.530707,0.000000,-0.000661,0.056005
280,L_hip_yaw,-0.203849,0.000000,-0.011622,1.374657
280,L_hip_pitch,1.325427,-0.350000,-0.353601,1.540991
280,L_knee,-0.272295,-0.650000,-0.734472,12.378697
280,L_foot_pitch,0.135834,0.300000,0.363496,-5.180106
280,L_foot_roll,0.036040,0.000000,-0.006336,0.556278
280,R_hip_roll,-0.282621,0.000000,-0.002560,0.522979
280,R_hip_yaw,-0.076453,0.000000,0.015412,-1.864970
280,R_hip_pitch,-0.005338,0.350000,0.349870,-1.179508
280,R_knee,0.085412,0.650000,0.722109,-10.800592
280,R_foot_pitch,-0.885694,-0.300000,-0.360790,4.974541
280,R_foot_roll,-0.428159,0.000000,-0.005218,0.458788
290,L_hip_roll,0.349343,0.000000,-0.000522,0.087759
290,L_hip_yaw,-0.128895,0.000000,-0.011502,1.374896
290,L_hip_pitch,1.241517,-0.350000,-0.363731,2.579552
290,L_knee,-0.290487,-0.650000,-0.731421,11.347680
290,L_foot_pitch,0.326133,0.300000,0.364455,-5.246824
290,L_foot_roll,-0.193372,0.000000,-0.006811,0.590951
290,R_hip_roll,-0.230003,0.000000,-0.002710,0.610989
290,R_hip_yaw,-0.047650,0.000000,0.015483,-1.858198
290,R_hip_pitch,-0.225553,0.350000,0.361015,-2.366413
290,R_knee,0.014241,0.650000,0.720768,-10.140611
290,R_foot_pitch,-0.625892,-0.300000,-0.361905,5.062021
