step,joint,action,target_q,q_curr,tau
70,L_knee,0.058105,-0.320000,-0.385150,18.186807
70,L_foot_pitch,0.906405,0.190000,0.211401,-2.792392
70,L_foot_roll,0.806563,0.000000,-0.000304,-0.198806
70,R_hip_roll,-0.035743,0.000000,-0.004413,1.210480
70,R_hip_yaw,0.193362,0.000000,0.007606,-0.902744
70,R_hip_pitch,0.385602,0.130000,0.192260,-8.198787
70,R_knee,-0.188535,0.320000,0.373914,-17.146621
70,R_foot_pitch,0.168853,-0.190000,-0.208212,2.734238
70,R_foot_roll,0.785446,0.000000,0.000879,0.204354
80,L_hip_roll,0.512738,0.000000,-0.004627,1.392353
80,L_hip_yaw,0.007335,0.000000,-0.009475,1.145846
80,L_hip_pitch,-0.743716,-0.130000,-0.197511,7.302627
80,L_knee,0.354626,-0.320000,-0.398252,15.947635
80,L_foot_pitch,1.387430,0.190000,0.220101,-2.953335
80,L_foot_roll,1.060184,0.000000,0.000447,-0.277729
80,R_hip_roll,0.602737,0.000000,-0.005743,1.458375
80,R_hip_yaw,0.090036,0.000000,0.007494,-0.891192
80,R_hip_pitch,0.752375,0.130000,0.191952,-6.832527
80,R_knee,-0.016050,0.320000,0.390189,-15.670558
80,R_foot_pitch,-0.663371,-0.190000,-0.217800,3.058834
80,R_foot_roll,1.187346,0.000000,0.001017,0.193948
90,L_hip_roll,0.932159,0.000000,-0.005955,1.608672
90,L_hip_yaw,-0.077111,0.000000,-0.009552,1.160311
90,L_hip_pitch,-0.873164,-0.130000,-0.183807,4.718451
90,L_knee,0.226866,-0.320000,-0.398353,13.055663
90,L_foot_pitch,1.710652,0.190000,0.224428,-3.119115
90,L_foot_roll,1.538198,0.000000,0.000611,-0.028161
90,R_hip_roll,-0.261489,0.000000,-0.006891,1.776100
90,R_hip_yaw,0.070147,0.000000,0.007415,-0.875475
90,R_hip_pitch,0.924137,0.130000,0.180190,-4.406631
90,R_knee,0.249187,0.320000,0.394013,-12.958078
90,R_foot_pitch,-1.342943,-0.190000,-0.223798,3.060393
90,R_foot_roll,0.729856,0.000000,0.001464,-0.333763
100,L_hip_roll,1.290484,0.000000,-0.007019,1.635263
100,L_hip_yaw,-0.076008,0.000000,-0.009612,1.159823
100,L_hip_pitch,-1.135322,-0.130000,-0.162395,1.529339
100,L_knee,0.452892,-0.320000,-0.390239,9.553666
100,L_foot_pitch,2.079340,0.190000,0.226284,-3.021193
100,L_foot_roll,1.497433,0.000000,0.000541,0.204733
100,R_hip_roll,-0.073361,0.000000,-0.007708,1.748731
100,R_hip_yaw,0.080921,0.000000,0.007353,-0.876140
100,R_hip_pitch,0.684364,0.130000,0.160499,-1.446832
100,R_knee,0.524664,0.320000,0.389206,-10.174880
100,R_foot_pitch,-1.844304,-0.190000,-0.227026,3.115830
