step,joint,action,target_q,q_curr,tau
0,L_hip_roll,0.731922,0.000000,0.000000,-0.000000
0,L_hip_yaw,-0.122313,0.000000,0.000000,-0.000000
0,L_hip_pitch,-0.265202,-0.250000,0.000000,-30.000000
0,L_knee,0.709317,-0.550000,-0.000000,-99.000000
0,L_foot_pitch,0.830737,0.300000,-0.000000,14.450000
0,L_foot_roll,0.180103,0.000000,-0.000000,0.000000
0,R_hip_roll,-0.115309,0.000000,0.000000,-0.000000
0,R_hip_yaw,0.065125,0.000000,-0.000000,0.000000
0,R_hip_pitch,0.046972,0.250000,-0.000000,30.000000
0,R_knee,0.330284,0.550000,-0.000000,99.000000
0,R_foot_pitch,-1.066829,-0.300000,0.000000,-14.450000
0,R_foot_roll,0.431265,0.000000,-0.000000,0.000000
10,L_hip_roll,0.263233,0.000000,-0.000313,0.240807
10,L_hip_yaw,0.080207,0.000000,0.008631,-2.131166
10,L_hip_pitch,0.940156,-0.250000,-0.059729,-13.477079
10,L_knee,0.501509,-0.550000,-0.112188,-26.430736
10,L_foot_pitch,0.996343,0.300000,0.089985,2.897106
10,L_foot_roll,0.559159,0.000000,-0.000087,-0.010566
10,R_hip_roll,-0.042060,0.000000,0.000086,-0.099012
10,R_hip_yaw,-0.172671,0.000000,-0.008593,2.117641
10,R_hip_pitch,-0.290081,0.250000,0.059737,13.479810
10,R_knee,-0.393073,0.550000,0.112128,26.498044
10,R_foot_pitch,-1.142294,-0.300000,-0.089380,-3.022896
10,R_foot_roll,-0.303208,0.000000,0.000052,0.018273
20,L_hip_roll,-0.243521,0.000000,-0.000996,0.362941
20,L_hip_yaw,-0.008017,0.000000,0.014647,-1.823149
20,L_hip_pitch,1.107592,-0.250000,-0.164450,0.207785
20,L_knee,0.132243,-0.550000,-0.304115,12.427805
20,L_foot_pitch,0.752270,0.300000,0.225696,-5.797486
20,L_foot_roll,0.615307,0.000000,0.000300,-0.052649
20,R_hip_roll,-0.383812,0.000000,0.000507,-0.213482
20,R_hip_yaw,-0.116588,0.000000,-0.014526,1.806190
20,R_hip_pitch,-0.239393,0.250000,0.164364,-0.187496
20,R_knee,-0.311834,0.550000,0.303762,-12.281282
20,R_foot_pitch,-0.647171,-0.300000,-0.224651,5.708481
20,R_foot_roll,-0.319824,0.000000,-0.000365,0.058882
30,L_hip_roll,-0.867651,0.000000,-0.001008,0.063313
30,L_hip_yaw,0.082624,0.000000,0.009524,-0.270083
30,L_hip_pitch,0.618196,-0.250000,-0.255753,8.442279
30,L_knee,-0.308817,-0.550000,-0.465459,25.069035
30,L_foot_pitch,0.772003,0.300000,0.306366,-5.587090
30,L_foot_roll,0.319100,0.000000,0.000074,0.055444
30,R_hip_roll,-0.722211,0.000000,0.000472,0.031186
30,R_hip_yaw,-0.026838,0.000000,-0.009492,0.282649
30,R_hip_pitch,-0.566141,0.250000,0.255652,-8.437319
30,R_knee,-0.338018,0.550000,0.465064,-25.053897
30,R_foot_pitch,0.290066,-0.300000,-0.305732,5.607259
30,R_foot_roll,-0.672488,0.000000,-0.000130,-0.053083
40,L_hip_roll,-0.886768,0.000000,-0.000138,-0.296659
40,L_hip_yaw,0.170321,0.000000,-0.000754,1.145472
40,L_hip_pitch,-0.585637,-0.250000,-0.314090,11.969102
40,L_knee,-0.268558,-0.550000,-0.564316,23.853954
40,L_foot_pitch,1.010639,0.300000,0.328464,-2.584812
40,L_foot_roll,-0.220482,0.000000,-0.000596,0.100283
40,R_hip_roll,-0.485283,0.000000,-0.000286,0.335489
40,R_hip_yaw,0.049272,0.000000,0.000605,-1.111288
