step,joint,action,target_q,q_curr,tau
0,L_hip_roll,0.402038,0.000000,0.000000,-0.000000
0,L_hip_yaw,-0.054708,0.000000,0.000000,-0.000000
0,L_hip_pitch,0.102759,-0.350000,0.000000,-42.000000
0,L_knee,0.829954,-0.650000,-0.000000,-97.500000
0,L_foot_pitch,0.242042,0.300000,-0.000000,14.450000
0,L_foot_roll,0.334152,0.000000,-0.000000,0.000000
0,R_hip_roll,0.063043,0.000000,0.000000,-0.000000
0,R_hip_yaw,-0.124461,0.000000,-0.000000,0.000000
0,R_hip_pitch,-0.076700,0.350000,-0.000000,42.000000
0,R_knee,-0.137322,0.650000,-0.000000,97.500000
0,R_foot_pitch,-0.845652,-0.300000,0.000000,-14.450000
0,R_foot_roll,0.385731,0.000000,-0.000000,0.000000
10,L_hip_roll,0.873338,0.000000,-0.000377,0.309390
10,L_hip_yaw,-0.106331,0.000000,0.009551,-2.429993
10,L_hip_pitch,1.413687,-0.350000,-0.069176,-22.443526
10,L_knee,1.437754,-0.650000,-0.124283,-38.683472
10,L_foot_pitch,0.583487,0.300000,0.091909,2.336366
10,L_foot_roll,0.608132,0.000000,-0.000078,-0.018583
10,R_hip_roll,-0.052811,0.000000,0.000132,-0.151964
10,R_hip_yaw,-0.178044,0.000000,-0.009498,2.411185
10,R_hip_pitch,-0.702187,0.350000,0.069186,22.447322
10,R_knee,-0.281847,0.650000,0.124215,38.741842
10,R_foot_pitch,-1.337370,-0.300000,-0.091252,-2.478915
10,R_foot_roll,0.163965,0.000000,0.000041,0.026892
20,L_hip_roll,0.894269,0.000000,-0.001439,0.590064
20,L_hip_yaw,-0.274013,0.000000,0.017705,-2.372769
20,L_hip_pitch,1.729835,-0.350000,-0.203204,-3.575519
20,L_knee,0.909556,-0.650000,-0.359136,4.825236
20,L_foot_pitch,-0.346487,0.300000,0.231297,-6.430674
20,L_foot_roll,0.538003,0.000000,0.000494,-0.086052
20,R_hip_roll,-0.037150,0.000000,0.000881,-0.412402
20,R_hip_yaw,-0.172722,0.000000,-0.017514,2.341914
20,R_hip_pitch,-0.432311,0.350000,0.203049,3.615608
20,R_knee,0.128643,0.650000,0.358576,-4.624181
20,R_foot_pitch,-1.155461,-0.300000,-0.230017,6.304627
20,R_foot_roll,-0.208238,0.000000,-0.000572,0.094809
30,L_hip_roll,1.085622,0.000000,-0.001751,0.239132
30,L_hip_yaw,-0.242027,0.000000,0.013554,-0.784423
30,L_hip_pitch,2.081496,-0.350000,-0.332295,9.386300
30,L_knee,0.289123,-0.650000,-0.577210,27.191603
30,L_foot_pitch,-1.047003,0.300000,0.310338,-5.496160
30,L_foot_roll,0.843668,0.000000,0.000192,0.077131
30,R_hip_roll,-0.244375,0.000000,0.001120,-0.123310
30,R_hip_yaw,-0.140118,0.000000,-0.013424,0.784709
30,R_hip_pitch,0.087679,0.350000,0.332014,-9.351702
30,R_knee,0.360284,0.650000,0.576307,-27.047104
30,R_foot_pitch,-1.204646,-0.300000,-0.309388,5.492656
30,R_foot_roll,-0.160515,0.000000,-0.000285,-0.068824
40,L_hip_roll,1.453419,0.000000,-0.000661,-0.330778
40,L_hip_yaw,-0.257003,0.000000,0.002873,0.809289
40,L_hip_pitch,2.079628,-0.350000,-0.424691,16.265509
40,L_knee,-0.146382,-0.650000,-0.726140,34.288406
40,L_foot_pitch,-1.268186,0.300000,0.327123,-1.919951
40,L_foot_roll,1.223565,0.000000,-0.000935,0.175842
40,R_hip_roll,-0.501707,0.000000,0.000143,0.386446
40,R_hip_yaw,-0.110037,0.000000,-0.002950,-0.778205
40,R_hip_pitch,0.626000,0.350000,0.424575,-16.281421
40,R_knee,0.586227,0.650000,0.725621,-34.352200
40,R_foot_pitch,-1.228269,-0.300000,-0.327119,2.020473
40,R_foot_roll,-0.059012,0.000000,0.000851,-0.171873
50,L_hip_roll,1.541120,0.000000,0.001043,-0.712129
50,L_hip_yaw,-0.341689,0.000000,-0.008003,1.943569
50,L_hip_pitch,2.117675,-0.350000,-0.474328,18.036585
50,L_knee,-0.307718,-0.650000,-0.800622,31.341005
50,L_foot_pitch,-1.434395,0.300000,0.313019,0.904626
50,L_foot_roll,1.200601,0.000000,-0.001390,0.104026
50,R_hip_roll,-0.546965,0.000000,-0.001376,0.719719
50,R_hip_yaw,-0.069223,0.000000,0.007739,-1.897236
50,R_hip_pitch,0.885028,0.350000,0.474627,-18.120786
50,R_knee,0.682696,0.650000,0.801083,-31.638489
50,R_foot_pitch,-1.241998,-0.300000,-0.313870,-0.769851
50,R_foot_roll,0.045250,0.000000,0.001351,-0.107046
60,L_hip_roll,1.574137,0.000000,0.002380,-0.766086
60,L_hip_yaw,-0.385300,0.000000,-0.015688,2.449702
60,L_hip_pitch,2.046635,-0.350000,-0.485502,15.874193
60,L_knee,-0.414514,-0.650000,-0.812584,22.118692
60,L_foot_pitch,-1.453970,0.300000,0.294342,2.058595
60,L_foot_roll,1.258378,0.000000,-0.000719,-0.048967
60,R_hip_roll,-0.647161,0.000000,-0.002512,0.731462
60,R_hip_yaw,-0.085606,0.000000,0.015357,-2.410728
60,R_hip_pitch,1.081591,0.350000,0.486306,-16.020217
60,R_knee,0.686274,0.650000,0.814228,-22.595638
60,R_foot_pitch,-1.263744,-0.300000,-0.295561,-1.949081
60,R_foot_roll,0.134148,0.000000,0.000746,0.040456
70,L_hip_roll,1.528596,0.000000,0.002784,-0.538353
70,L_hip_yaw,-0.372058,0.000000,-0.018497,2.257375
70,L_hip_pitch,1.914289,-0.350000,-0.467107,11.199942
70,L_knee,-0.336137,-0.650000,-0.779938,10.098506
70,L_foot_pitch,-1.408260,0.300000,0.283940,1.835727
70,L_foot_roll,1.189855,0.000000,0.000487,-0.156643
70,R_hip_roll,-0.666041,0.000000,-0.002714,0.464449
70,R_hip_yaw,-0.120979,0.000000,0.018275,-2.249886
70,R_hip_pitch,1.262392,0.350000,0.468327,-11.378901
70,R_knee,0.541990,0.650000,0.782545,-10.639402
70,R_foot_pitch,-1.267793,-0.300000,-0.285017,-1.782391
70,R_foot_roll,0.352316,0.000000,-0.000415,0.148406
80,L_hip_roll,1.419744,0.000000,0.002232,-0.178904
80,L_hip_yaw,-0.342083,0.000000,-0.015915,1.420736
80,L_hip_pitch,1.734612,-0.350000,-0.430812,5.626873
80,L_knee,-0.190498,-0.650000,-0.723308,-1.273089
80,L_foot_pitch,-1.418888,0.300000,0.283856,0.909930
80,L_foot_roll,0.945575,0.000000,0.001345,-0.161362
80,R_hip_roll,-0.630936,0.000000,-0.001970,0.071495
80,R_hip_yaw,-0.122862,0.000000,0.015964,-1.458501
80,R_hip_pitch,1.171929,0.350000,0.432192,-5.793464
80,R_knee,0.470256,0.650000,0.726288,0.819794
80,R_foot_pitch,-1.213123,-0.300000,-0.284457,-0.917644
80,R_foot_roll,0.446179,0.000000,-0.001273,0.157282
90,L_hip_roll,1.225684,0.000000,0.002203,-0.325572
90,L_hip_yaw,-0.302629,0.000000,-0.014936,1.809230
90,L_hip_pitch,1.771101,-0.350000,-0.393692,1.776979
90,L_knee,0.009189,-0.650000,-0.689693,1.601444
90,L_foot_pitch,-1.324225,0.300000,0.358591,-14.450000
90,L_foot_roll,0.634628,0.000000,-0.009137,1.135201
90,R_hip_roll,-0.687474,0.000000,-0.001788,0.514000
90,R_hip_yaw,-0.174992,0.000000,0.012075,-1.422005
90,R_hip_pitch,0.966880,0.350000,0.392995,-1.672041
90,R_knee,0.385751,0.650000,0.680757,-0.382162
90,R_foot_pitch,-1.138167,-0.300000,-0.329948,12.761460
90,R_foot_roll,0.402717,0.000000,-0.000919,-0.041704
100,L_hip_roll,1.142259,0.000000,-0.003810,2.101289
100,L_hip_yaw,-0.241566,0.000000,-0.018338,2.463696
100,L_hip_pitch,1.779965,-0.350000,-0.409834,9.771283
100,L_knee,0.262973,-0.650000,-0.728070,21.579947
100,L_foot_pitch,-1.168252,0.300000,0.365895,-4.505900
100,L_foot_roll,0.587222,0.000000,0.007089,-0.815952
100,R_hip_roll,-0.527802,0.000000,-0.006596,2.584476
100,R_hip_yaw,-0.171481,0.000000,0.008682,-0.775390
100,R_hip_pitch,0.913185,0.350000,0.391240,-6.661377
100,R_knee,0.317008,0.650000,0.696025,-14.642022
100,R_foot_pitch,-1.074594,-0.300000,-0.374278,6.807287
100,R_foot_roll,0.326825,0.000000,0.001097,-0.249788
110,L_hip_roll,1.041460,0.000000,-0.006819,2.133338
110,L_hip_yaw,-0.300877,0.000000,-0.019827,2.463720
110,L_hip_pitch,1.216790,-0.350000,-0.426633,10.222152
110,L_knee,0.480134,-0.650000,-0.765427,23.126437
110,L_foot_pitch,-1.350773,0.300000,0.361374,-4.721378
110,L_foot_roll,0.551629,0.000000,0.004417,-0.122167
110,R_hip_roll,-0.320345,0.000000,-0.009769,2.742121
110,R_hip_yaw,-0.183516,0.000000,0.007255,-0.794581
110,R_hip_pitch,0.741792,0.350000,0.405590,-7.782639
110,R_knee,0.396043,0.650000,0.731975,-18.729901
110,R_foot_pitch,-1.065170,-0.300000,-0.380054,6.756604
110,R_foot_roll,0.207910,0.000000,0.002016,-0.189515
120,L_hip_roll,1.276497,0.000000,-0.009122,2.458868
120,L_hip_yaw,-0.179737,0.000000,-0.020192,2.427984
120,L_hip_pitch,0.669058,-0.350000,-0.430020,9.419714
120,L_knee,0.543914,-0.650000,-0.785984,23.226386
120,L_foot_pitch,-1.415838,0.300000,0.361727,-5.115464
120,L_foot_roll,0.803688,0.000000,0.002824,-0.112826
120,R_hip_roll,-0.470037,0.000000,-0.012029,3.000611
120,R_hip_yaw,-0.147570,0.000000,0.006969,-0.837992
120,R_hip_pitch,0.533140,0.350000,0.411999,-7.688244
120,R_knee,0.577529,0.650000,0.758387,-20.574742
120,R_foot_pitch,-1.009535,-0.300000,-0.381780,6.603293
120,R_foot_roll,0.231670,0.000000,0.002221,-0.174146
130,L_hip_roll,1.194981,0.000000,-0.011066,2.746496
130,L_hip_yaw,0.053436,0.000000,-0.020005,2.366806
130,L_hip_pitch,0.088623,-0.350000,-0.422799,7.607919
130,L_knee,0.604651,-0.650000,-0.793527,22.036458
130,L_foot_pitch,-1.380209,0.300000,0.364404,-5.462383
130,L_foot_roll,0.961797,0.000000,0.002252,-0.142493
130,R_hip_roll,-0.446372,0.000000,-0.013754,3.205242
130,R_hip_yaw,-0.118579,0.000000,0.007207,-0.902837
130,R_hip_pitch,0.300453,0.350000,0.409709,-6.557384
130,R_knee,0.987660,0.650000,0.773959,-20.745110
130,R_foot_pitch,-0.900642,-0.300000,-0.381538,6.445362
130,R_foot_roll,0.334215,0.000000,0.002175,-0.169291
140,L_hip_roll,1.043125,0.000000,-0.012613,2.925996
140,L_hip_yaw,0.166613,0.000000,-0.019554,2.294136
140,L_hip_pitch,-0.199532,-0.350000,-0.407482,5.073879
140,L_knee,0.622696,-0.650000,-0.790977,19.886457
140,L_foot_pitch,-1.298472,0.300000,0.367463,-5.682545
140,L_foot_roll,1.170742,0.000000,0.001971,-0.134312
140,R_hip_roll,-0.344651,0.000000,-0.015000,3.305227
140,R_hip_yaw,-0.111743,0.000000,0.007694,-0.978684
140,R_hip_pitch,0.252140,0.350000,0.399482,-4.600798
140,R_knee,1.131911,0.650000,0.779281,-19.616100
140,R_foot_pitch,-0.849829,-0.300000,-0.380335,6.277027
140,R_foot_roll,0.318982,0.000000,0.002107,-0.159482
150,L_hip_roll,1.006297,0.000000,-0.013677,2.982052
150,L_hip_yaw,0.105707,0.000000,-0.018975,2.215581
150,L_hip_pitch,-0.375975,-0.350000,-0.386613,2.130698
150,L_knee,0.457560,-0.650000,-0.781086,17.178744
150,L_foot_pitch,-1.416117,0.300000,0.369780,-5.762672
150,L_foot_roll,1.235258,0.000000,0.001741,-0.114811
150,R_hip_roll,-0.545866,0.000000,-0.015716,3.281655
150,R_hip_yaw,-0.105306,0.000000,0.008297,-1.059122
150,R_hip_pitch,0.103659,0.350000,0.383000,-2.090689
150,R_knee,1.207946,0.650000,0.775981,-17.580424
150,R_foot_pitch,-0.852485,-0.300000,-0.378548,6.082950
150,R_foot_roll,0.311253,0.000000,0.001973,-0.140347
160,L_hip_roll,0.967380,0.000000,-0.014176,2.898920
160,L_hip_yaw,0.154724,0.000000,-0.018336,2.135078
160,L_hip_pitch,-0.431542,-0.350000,-0.362809,-0.899885
160,L_knee,0.402827,-0.650000,-0.766569,14.317810
160,L_foot_pitch,-1.422313,0.300000,0.370863,-5.716635
160,L_foot_roll,1.212891,0.000000,0.001408,-0.056531
160,R_hip_roll,-0.394856,0.000000,-0.015854,3.130893
160,R_hip_yaw,-0.113692,0.000000,0.008952,-1.140932
160,R_hip_pitch,0.200018,0.350000,0.362498,0.659906
160,R_knee,1.279068,0.650000,0.766269,-15.062853
160,R_foot_pitch,-0.892619,-0.300000,-0.376289,5.857552
160,R_foot_roll,0.329827,0.000000,0.001739,-0.110685
170,L_hip_roll,0.736098,0.000000,-0.014066,2.701705
170,L_hip_yaw,0.226446,0.000000,-0.017673,2.053998
170,L_hip_pitch,-0.611661,-0.350000,-0.338757,-3.689409
170,L_knee,0.500044,-0.650000,-0.750170,11.733037
170,L_foot_pitch,-1.366262,0.300000,0.370659,-5.580484
170,L_foot_roll,1.095257,0.000000,0.000855,-0.013170
170,R_hip_roll,-0.377850,0.000000,-0.015404,2.870496
170,R_hip_yaw,-0.145582,0.000000,0.009620,-1.220955
170,R_hip_pitch,0.156999,0.350000,0.340530,3.324178
170,R_knee,1.395908,0.650000,0.752692,-12.492266
170,R_foot_pitch,-0.859347,-0.300000,-0.373621,5.607136
170,R_foot_roll,0.313226,0.000000,0.001391,-0.071110
180,L_hip_roll,0.678716,0.000000,-0.013392,2.405107
180,L_hip_yaw,0.221834,0.000000,-0.017009,1.975193
180,L_hip_pitch,-0.512197,-0.350000,-0.317046,-5.953617
180,L_knee,0.565009,-0.650000,-0.734537,9.757571
180,L_foot_pitch,-1.254951,0.300000,0.369426,-5.395015
180,L_foot_roll,0.889435,0.000000,0.000282,0.036983
180,R_hip_roll,-0.197786,0.000000,-0.014424,2.526694
180,R_hip_yaw,-0.150898,0.000000,0.010275,-1.297499
180,R_hip_pitch,0.145158,0.350000,0.319695,5.598962
180,R_knee,1.385986,0.650000,0.737889,-10.256724
180,R_foot_pitch,-0.861523,-0.300000,-0.370661,5.348769
180,R_foot_roll,0.209846,0.000000,0.000927,-0.022797
190,L_hip_roll,0.657254,0.000000,-0.012230,2.041531
190,L_hip_yaw,0.172675,0.000000,-0.016361,1.899578
190,L_hip_pitch,-0.423261,-0.350000,-0.299855,-7.484184
190,L_knee,0.642054,-0.650000,-0.721864,8.608020
190,L_foot_pitch,-1.191882,0.300000,0.367556,-5.201127
190,L_foot_roll,0.827902,0.000000,-0.000347,0.093368
190,R_hip_roll,-0.120697,0.000000,-0.013017,2.135718
190,R_hip_yaw,-0.156691,0.000000,0.010905,-1.370317
190,R_hip_pitch,0.150111,0.350000,0.302325,7.246589
190,R_knee,1.364586,0.650000,0.724279,-8.644887
190,R_foot_pitch,-0.855248,-0.300000,-0.367604,5.105180
190,R_foot_roll,0.081281,0.000000,0.000360,0.032026
200,L_hip_roll,0.770619,0.000000,-0.010705,1.647171
200,L_hip_yaw,0.142134,0.000000,-0.015735,1.826390
200,L_hip_pitch,-0.262239,-0.350000,-0.288665,-8.185214
200,L_knee,0.574860,-0.650000,-0.713598,8.326998
200,L_foot_pitch,-1.116879,0.300000,0.365475,-5.031740
200,L_foot_roll,0.670645,0.000000,-0.001034,0.153604
200,R_hip_roll,-0.086992,0.000000,-0.011329,1.734962
200,R_hip_yaw,-0.124324,0.000000,0.011509,-1.440682
200,R_hip_pitch,0.074075,0.350000,0.290156,8.131305
200,R_knee,1.304120,0.650000,0.713723,-7.795579
200,R_foot_pitch,-0.883439,-0.300000,-0.364695,4.898396
200,R_foot_roll,0.085597,0.000000,-0.000288,0.090685
210,L_hip_roll,0.721154,0.000000,-0.008968,1.256858
210,L_hip_yaw,0.165232,0.000000,-0.015123,1.753973
210,L_hip_pitch,-0.008042,-0.350000,-0.284046,-8.084535
210,L_knee,0.505809,-0.650000,-0.710219,8.781515
210,L_foot_pitch,-1.072679,0.300000,0.363555,-4.908293
210,L_foot_roll,0.661633,0.000000,-0.001762,0.215134
210,R_hip_roll,-0.123516,0.000000,-0.009519,1.358134
210,R_hip_yaw,-0.143052,0.000000,0.012099,-1.510520
210,R_hip_pitch,0.013420,0.350000,0.284085,8.236057
210,R_knee,1.219867,0.650000,0.707251,-7.680430
210,R_foot_pitch,-0.945584,-0.300000,-0.362171,4.744455
210,R_foot_roll,-0.038901,0.000000,-0.000988,0.150388
220,L_hip_roll,0.872117,0.000000,-0.007169,0.898253
220,L_hip_yaw,0.084492,0.000000,-0.014517,1.681485
220,L_hip_pitch,0.256997,-0.350000,-0.285644,-7.308872
220,L_knee,0.342257,-0.650000,-0.711234,9.724077
220,L_foot_pitch,-1.108750,0.300000,0.362061,-4.839326
220,L_foot_roll,0.745104,0.000000,-0.002510,0.275727
220,R_hip_roll,-0.213191,0.000000,-0.007740,1.030027
220,R_hip_yaw,-0.102533,0.000000,0.012684,-1.580671
220,R_hip_pitch,0.043799,0.350000,0.284101,7.649546
220,R_knee,1.095398,0.650000,0.704961,-8.133184
220,R_foot_pitch,-1.085279,-0.300000,-0.360217,4.651057
220,R_foot_roll,-0.050210,0.000000,-0.001708,0.208671
230,L_hip_roll,0.822778,0.000000,-0.005446,0.592813
230,L_hip_yaw,-0.003830,0.000000,-0.013913,1.609538
230,L_hip_pitch,0.529367,-0.350000,-0.292407,-6.042278
230,L_knee,0.199619,-0.650000,-0.715455,10.864882
230,L_foot_pitch,-0.982245,0.300000,0.361129,-4.824063
230,L_foot_roll,0.700297,0.000000,-0.003252,0.333516
230,R_hip_roll,-0.208193,0.000000,-0.006120,0.768315
230,R_hip_yaw,-0.079965,0.000000,0.013268,-1.650312
230,R_hip_pitch,0.087763,0.350000,0.289436,6.528019
230,R_knee,0.778627,0.650000,0.706167,-8.918554
230,R_foot_pitch,-1.187522,-0.300000,-0.358931,4.616920
230,R_foot_roll,-0.171489,0.000000,-0.002419,0.263452
240,L_hip_roll,0.797838,0.000000,-0.003911,0.354281
240,L_hip_yaw,-0.085134,0.000000,-0.013322,1.540673
240,L_hip_pitch,0.800371,-0.350000,-0.302877,-4.485597
240,L_knee,0.072190,-0.650000,-0.721334,11.933982
240,L_foot_pitch,-0.914727,0.300000,0.360789,-4.854672
240,L_foot_roll,0.633850,0.000000,-0.003967,0.387161
240,R_hip_roll,-0.272042,0.000000,-0.004756,0.582675
240,R_hip_yaw,-0.072603,0.000000,0.013839,-1.716593
240,R_hip_pitch,0.058235,0.350000,0.298836,5.057869
240,R_knee,0.652228,0.650000,0.709689,-9.788593
240,R_foot_pitch,-1.211206,-0.300000,-0.358325,4.634591
240,R_foot_roll,-0.240388,0.000000,-0.003096,0.313307
250,L_hip_roll,0.826550,0.000000,-0.002641,0.187558
250,L_hip_yaw,-0.154861,0.000000,-0.012766,1.478730
250,L_hip_pitch,1.135102,-0.350000,-0.315500,-2.823111
250,L_knee,-0.036898,-0.650000,-0.727312,12.720574
250,L_foot_pitch,-0.778898,0.300000,0.360985,-4.919742
250,L_foot_roll,0.483042,0.000000,-0.004639,0.435996
250,R_hip_roll,-0.229646,0.000000,-0.003710,0.474273
250,R_hip_yaw,-0.071192,0.000000,0.014372,-1.775377
250,R_hip_pitch,0.165406,0.350000,0.310850,3.419919
250,R_knee,0.509394,0.650000,0.714167,-10.531235
250,R_foot_pitch,-1.116004,-0.300000,-0.358335,4.692717
250,R_foot_roll,-0.246172,0.000000,-0.003721,0.357492
260,L_hip_roll,0.780983,0.000000,-0.001679,0.089789
260,L_hip_yaw,-0.212185,0.000000,-0.012276,1.428046
260,L_hip_pitch,1.316350,-0.350000,-0.328860,-1.202606
260,L_knee,-0.137739,-0.650000,-0.732064,13.088497
260,L_foot_pitch,-0.647066,0.300000,0.361605,-5.005195
260,L_foot_roll,0.356500,0.000000,-0.005258,0.479994
260,R_hip_roll,-0.291638,0.000000,-0.003008,0.437155
260,R_hip_yaw,-0.093038,0.000000,0.014834,-1.822117
260,R_hip_pitch,0.188145,0.350000,0.324087,1.766395
260,R_knee,0.385961,0.650000,0.718336,-10.994415
260,R_foot_pitch,-1.021029,-0.300000,-0.358849,4.778054
260,R_foot_roll,-0.273655,0.000000,-0.004284,0.395988
270,L_hip_roll,0.708646,0.000000,-0.001029,0.050944
270,L_hip_yaw,-0.231630,0.000000,-0.011885,1.392465
270,L_hip_pitch,1.438291,-0.350000,-0.341823,0.272160
270,L_knee,-0.210512,-0.650000,-0.734631,12.974468
270,L_foot_pitch,-0.438260,0.300000,0.362496,-5.096319
270,L_foot_roll,0.154053,0.000000,-0.005822,0.519738
270,R_hip_roll,-0.287429,0.000000,-0.002639,0.458943
270,R_hip_yaw,-0.086279,0.000000,0.015191,-1.852874
270,R_hip_pitch,0.120311,0.350000,0.337379,0.209765
270,R_knee,0.239203,0.650000,0.721199,-11.092110
270,R_foot_pitch,-0.907727,-0.300000,-0.359721,4.876457
270,R_foot_roll,-0.331542,0.000000,-0.004781,0.429372
280,L_hip_roll,0.597336,0.000000,-0.000661,0.056005
280,L_hip_yaw,-0.217230,0.000000,-0.011622,1.374657
280,L_hip_pitch,1.424086,-0.350000,-0.353601,1.540991
280,L_knee,-0.262089,-0.650000,-0.734472,12.378697
280,L_foot_pitch,-0.233198,0.300000,0.363496,-5.180106
280,L_foot_roll,-0.029751,0.000000,-0.006336,0.556278
280,R_hip_roll,-0.281916,0.000000,-0.002560,0.522979
280,R_hip_yaw,-0.093368,0.000000,0.015412,-1.864970
280,R_hip_pitch,-0.035378,0.350000,0.349870,-1.179508
280,R_knee,0.187466,0.650000,0.722109,-10.800592
