step,joint,action,target_q,q_curr,tau
0,L_hip_roll,0.677096,0.000000,0.000000,-0.000000
0,L_hip_yaw,-0.122969,0.000000,0.000000,-0.000000
0,L_hip_pitch,-0.153406,-0.350000,0.000000,-42.000000
0,L_knee,1.565379,-0.650000,-0.000000,-78.000000
0,L_foot_pitch,1.079795,0.300000,-0.000000,14.450000
0,L_foot_roll,0.140726,0.000000,-0.000000,0.000000
0,R_hip_roll,0.050111,0.000000,0.000000,-0.000000
0,R_hip_yaw,-0.309376,0.000000,-0.000000,0.000000
0,R_hip_pitch,-0.713588,0.350000,-0.000000,42.000000
0,R_knee,-0.232830,0.650000,-0.000000,78.000000
0,R_foot_pitch,-0.382929,-0.300000,0.000000,-14.450000
0,R_foot_roll,0.567373,0.000000,-0.000000,0.000000
10,L_hip_roll,1.183141,0.000000,-0.000333,0.111728
10,L_hip_yaw,0.002602,0.000000,0.008566,-2.251974
10,L_hip_pitch,0.979927,-0.350000,-0.063420,-23.707530
10,L_knee,1.116174,-0.650000,-0.111314,-45.981716
10,L_foot_pitch,0.390279,0.300000,0.080149,0.999699
10,L_foot_roll,0.734321,0.000000,-0.000087,-0.011672
10,R_hip_roll,-0.804794,0.000000,0.000111,-0.049928
10,R_hip_yaw,-0.107363,0.000000,-0.008517,2.234483
10,R_hip_pitch,-1.736115,0.350000,0.063435,23.708460
10,R_knee,-0.793585,0.650000,0.111270,46.005073
10,R_foot_pitch,-0.700361,-0.300000,-0.079619,-1.110611
10,R_foot_roll,0.632631,0.000000,0.000056,0.017506
20,L_hip_roll,1.384386,0.000000,-0.001468,0.301093
20,L_hip_yaw,0.150110,0.000000,0.017805,-2.606389
20,L_hip_pitch,1.217830,-0.350000,-0.198944,-3.257522
20,L_knee,0.514976,-0.650000,-0.346232,-10.798989
20,L_foot_pitch,-0.629326,0.300000,0.202442,-5.045126
20,L_foot_roll,1.221308,0.000000,0.000505,-0.093920
20,R_hip_roll,-1.439226,0.000000,0.000886,-0.199944
